"Adj_Open","Adj_High","Adj_Low","Adj_Close","Adj_Volume","Date"
5.8656726998833,5.8838373637281,5.8096649863618,5.8459943140514,1710900,1993-01-04
5.8096649863618,5.8656726998833,5.7521435508533,5.7521435508533,3233700,1993-01-05
5.7339788870085,5.8096649863618,5.7143005011766,5.8096649863618,2238600,1993-01-06
5.8096649863618,5.8278296502066,5.6961358373318,5.6961358373318,4186800,1993-01-07
5.6961358373318,5.7521435508533,5.6007713521466,5.7339788870085,2413200,1993-01-08
5.7521435508533,5.8278296502066,5.7521435508533,5.8096649863618,2197500,1993-01-11
5.7703082146981,5.8656726998833,5.7703082146981,5.8459943140514,3238200,1993-01-12
5.8838373637281,5.9413587992366,5.8656726998833,5.9231941353918,3203100,1993-01-13
5.9610371850685,6.1108956617881,5.9413587992366,6.1108956617881,5953500,1993-01-14
6.13057404762,6.2062601469733,6.1108956617881,6.13057404762,3752400,1993-01-15
6.13057404762,6.3197892960033,6.1108956617881,6.24410319665,2661000,1993-01-18
6.2819462463266,6.5090045443866,6.1684170972966,6.3001109101714,9706200,1993-01-19
6.3197892960033,6.3197892960033,6.0927309979433,6.1108956617881,8171400,1993-01-20
6.1880954831285,6.1880954831285,5.9610371850685,6.01704489859,5445600,1993-01-21
6.0548879482666,6.13057404762,6.01704489859,6.0367232844218,2596200,1993-01-22
6.0367232844218,6.0730526121114,5.9610371850685,5.9792018489133,1448100,1993-01-25
6.0367232844218,6.0927309979433,6.01704489859,6.0927309979433,3066000,1993-01-26
6.1684170972966,6.3197892960033,6.1502524334518,6.3197892960033,6870900,1993-01-27
6.3576323456799,6.3773107315118,6.1108956617881,6.13057404762,4331400,1993-01-28
6.1684170972966,6.1684170972966,6.1108956617881,6.1502524334518,1787400,1993-01-29
6.1880954831285,6.2244248108181,6.1502524334518,6.2062601469733,2808600,1993-02-01
6.24410319665,6.2637815824818,6.1880954831285,6.2244248108181,1596300,1993-02-02
6.2244248108181,6.3197892960033,6.2244248108181,6.3001109101714,2324100,1993-02-03
6.4151537811885,6.4333184450333,6.3197892960033,6.3773107315118,3925500,1993-02-04
6.3954753953566,6.5090045443866,6.3954753953566,6.4908398805418,5154300,1993-02-05
6.4711614947099,6.4908398805418,6.4333184450333,6.4711614947099,1293300,1993-02-08
6.4333184450333,6.4514831088781,6.3773107315118,6.4151537811885,2384700,1993-02-09
6.4151537811885,6.4151537811885,6.3576323456799,6.4151537811885,2068800,1993-02-10
6.4151537811885,6.4908398805418,6.3954753953566,6.4333184450333,2583900,1993-02-11
6.4514831088781,6.4711614947099,6.3379539598481,6.3379539598481,2259300,1993-02-12
6.3197892960033,6.3197892960033,5.9973665127581,6.13057404762,4684800,1993-02-16
6.0927309979433,6.1108956617881,6.01704489859,6.0730526121114,4813200,1993-02-17
6.2244248108181,6.2244248108181,5.9610371850685,6.01704489859,3295500,1993-02-18
6.0367232844218,6.2244248108181,6.01704489859,6.2244248108181,3911400,1993-02-19
6.1880954831285,6.3379539598481,6.1684170972966,6.3379539598481,2483100,1993-02-22
6.3197892960033,6.3379539598481,6.1108956617881,6.1684170972966,3613200,1993-02-23
6.24410319665,6.3576323456799,6.2062601469733,6.3379539598481,2629200,1993-02-24
6.3379539598481,6.3379539598481,6.2244248108181,6.3001109101714,1738800,1993-02-25
6.2819462463266,6.3001109101714,6.0548879482666,6.13057404762,14774700,1993-02-26
6.24410319665,6.2637815824818,6.1502524334518,6.2062601469733,2642700,1993-03-01
6.2244248108181,6.3379539598481,6.2062601469733,6.3379539598481,2373000,1993-03-02
6.3379539598481,6.4151537811885,6.3197892960033,6.3576323456799,3356100,1993-03-03
6.3773107315118,6.3773107315118,6.1880954831285,6.2062601469733,2063400,1993-03-04
6.2244248108181,6.2819462463266,6.1502524334518,6.1880954831285,2584500,1993-03-05
6.2062601469733,6.3379539598481,6.2062601469733,6.3379539598481,2325600,1993-03-08
6.3379539598481,6.4908398805418,6.3379539598481,6.4908398805418,3868200,1993-03-09
6.4908398805418,6.6785414069381,6.4711614947099,6.6603767430933,3933600,1993-03-10
6.6603767430933,6.6603767430933,6.5271692082314,6.5650122579081,2558400,1993-03-11
6.4514831088781,6.4908398805418,6.3954753953566,6.4711614947099,2475900,1993-03-12
